id	name
4	Afghanistan
8	Albania
12	Algeria
24	Angola
660	Anguilla
28	Antigua and Barbuda
32	Argentina
51	Armenia
36	Australia
40	Austria
31	Azerbaijan
44	Bahamas
48	Bahrain
50	Bangladesh
52	Barbados
112	Belarus
56	Belgium
84	Belize
204	Benin
64	Bhutan
68	Bolivia (Plurinational State of)
70	Bosnia and Herzegovina
72	Botswanana
76	Brazil
100	Bulgaria
854	Burkina Faso
108	Burundi
132	Cabo Verde
116	Cambodia
120	Cameroon
124	Canada
140	Central African Republic
148	Chad
152	Chile
156	China
344	China, Hong Kong SAR
170	Colombia
174	Comoros
178	Congo
184	Cook Islands
188	Costa Rica
384	Côte d'Ivoire
191	Croatia
192	Cuba
203	Czech Republic
408	Democratic People's Republic of Korea
180	Democratic Republic of the Congo
208	Denmark
262	Djibouti
212	Dominica
214	Dominican Republic
218	Ecuador
818	Egypt
222	El Salvador
226	Equatorial Guinea
232	Eritrea
233	Estonia
231	Ethiopia
242	Fiji
246	Finland
250	France
266	Gabon
270	Gambia
268	Georgia
276	Germany
288	Ghana
300	Greece
308	Grenada
312	Guadeloupe
316	Guam
320	Guatemala
324	Guinea
624	Guinea-Bissau
328	Guyana
332	Haiti
340	Honduras
348	Hungary
356	India
360	Indonesia
364	Iran (Islamic Republic of)
368	Iraq
372	Ireland
376	Israel
380	Italy
388	Jamaica
392	Japan
400	Jordan
398	Kazakhstan
404	Kenya
296	Kiribati
414	Kuwait
417	Kyrgyzstan
418	Lao People's Democratic Republic
428	Latvia
422	Lebanon
426	Lesotho
430	Liberia
434	Libya
440	Lithuania
450	Madagascar
454	Malawi
458	Malaysia
462	Maldives
466	Mali
470	Malta
584	Marshall Islands
474	Martinique
478	Mauritania
480	Mauritius
484	Mexico
496	Mongolia
499	Montenegro
500	Montserrat
504	Morocco
508	Mozambique
104	Myanmar
516	Namibia
520	Nauru
524	Nepal
528	Netherlands
554	New Zealand
558	Nicaragua
562	Niger
566	Nigeria
580	Northern Mariana Islands
578	Norway
512	Oman
586	Pakistan
585	Palau
591	Panama
598	Papua New Guinea
600	Paraguay
604	Peru
608	Philippines
616	Poland
620	Portugal
630	Puerto Rico
634	Qatar
410	Republic of Korea
498	Republic of Moldova
638	Réunion
642	Romania
643	Russian Federation
646	Rwanda
659	Saint Kitts and Nevis
662	Saint Lucia
670	Saint Vincent and the Grenadines
882	Samoa
678	Sao Tome and Principe
682	Saudi Arabia
686	Senegal
688	Serbia
694	Sierra Leone
702	Singapore
703	Slovakia
705	Slovenia
90	Solomon Islands
706	Somalia
710	South Africa
728	South Sudan
724	Spain
144	Sri Lanka
275	State of Palestine
729	Sudan
740	Suriname
748	Swaziland
752	Sweden
756	Switzerland
760	Syrian Arab Republic
762	Tajikistan
764	Thailand
807	The former Yugoslav Republic of Macedonia
626	Timor-Leste
768	Togo
780	Trinidad and Tobago
788	Tunisia
792	Turkey
795	Turkmenistan
798	Tuvalu
800	Uganda
804	Ukraine
784	United Arab Emirates
826	United Kingdom
834	United Republic of Tanzania
840	United States of America
850	United States Virgin Islands
858	Uruguay
860	Uzbekistan
548	Vanuatu
862	Venezuela (Bolivarian Republic of)
704	Viet Nam
887	Yemen
894	Zambia
716	Zimbabwe